district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Central & Western,"Chiu Sheung School, Hong Kong",11,http://www.csshk.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6000,Chinese & English,-,-,-,Yes,Yes,26,1,1,1,"Music Rooms, Activity Room, Visual Arts Room, Counselling Room, Conference Room, Group Learning Rooms, Speech Therapy Room, STEM Room.",Accessible public information / service counter.,43,58,100,100,19,60,40,27,33,3,3,4,4,4,4,22,3,3,3,4,4,4,21,0,1,Yes,0,2,Yes,No,8:00,AM,3:20,PM,"Healthiness, Confidence, Care and Inclusiveness."
Central & Western,King's College Old Boys' Association Primary School,11,http://www.kcobaps1.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,3000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,12,1,1,1,"AI Resource Center, English room, Innospace, Music room, guidance and counselling room and multi-purpose room.",Elevating platform.,26,27,96,100,41,54,26,26,48,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,2,Yes,0,3,No,No,8:15,AM,3:25,PM,"1. Develop school-based STEAM curriculum and Artificial Intelligence (A.I.) curriculum.<br>2. Develop positive education, national education and healthy growth of students.<br>3. Strengthening cross-curricular learning for developing lifelong learning capabilities"
Central & Western,S.K.H. Kei Yan Primary School,11,http://www.skhkyps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4700,Chinese,-,-,-,Yes,-,18,1,1,1,"1 TV Campus, 1 Visual Arts room, 2 Music rooms, 1 Multi-purpose Activity room, 1 STEM room, 1 English Language room, 1 Remedial Teaching room.",,37,37,100,100,42,89,5,19,76,3,3,3,3,3,3,18,3,3,3,3,3,3,18,1,1,Yes,2,2,No,Yes,8:15,AM,3:15,PM,1. To foster proper values and attitudes in students<br>2. To cultivate types of literacy students need in the 21st century
Central & Western,St. Charles School,11,http://www.stcharles.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4600,Chinese & English,-,-,-,Yes,-,14,1,1,1,"STREAM Room, CoolThink@JC Studio, Multi-purpose Learning Room, English Room, Prayer Room.",-,19,23,78,100,40,56,30,13,57,1,0,1,2,2,2,8,2,1,0,1,2,2,8,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:25,PM,1. Positive mindset and sound values.<br>2. Pupils' learning skills and attitudes in a diverse learning environment. 
Central & Western,S.K.H. Lui Ming Choi Memorial Primary School,11,https://www.skhlmcmps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1300,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,1,1,"Computer rooms, Library, School TV Broadcasting Room, Music Room, Art Room, Technology and Innovation Lab, Reading café, Flyer Learning Room, Church, etc.","Lift (1, 3, 6 / Floor only).",43,44,100,100,39,60,11,25,64,3,3,4,4,4,4,22,3,3,3,4,4,4,21,0,2,Yes,0,3,Yes,Yes,7:50,AM,3:00,PM,1. Continue to promote values education to cultivate students into healthy and well-rounded citizens with physical and mental wellness.<br>2. Strengthen the implementation of STEAM education to nurture students as proactive learners.
Central & Western,S.K.H. St. Peter's Primary School,11,http://www.spps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7960,Chinese,-,-,-,Yes,-,36,2,4,2,"Music Room, Computer Room, Visual Arts Room, STEAM Room, English Room, Student Activity Room, Campus TV.",,67,74,88,100,45,59,24,16,60,6,6,6,6,6,6,36,6,6,6,6,6,6,36,1,1,Yes,2,2,Yes,Yes,7:55,AM,3:05,PM,"1. Fostering students' growth mindset and positive values to live a healthy and confident life. <br>2. Enhancing students' high order thinking and communication skills, integrating STEAM education and history-cultural education, and applying what they have learnt in practice."
Central & Western,St. Louis School (Primary Section),/,http://stlouisps.edu.hk,Private,Whole Day,Boys,Catholicism,9200,Chinese(incl.: Putonghua) and English,-,St. Louis School,-,Yes,Yes,13,1,1,1,"There are 4 special rooms - a STREAM room, an English Drama room, a music room and a GP room.",-,-,25,100,48,52,20,26,26,48,2,2,2,2,2,2,12,2,2,2,3,2,2,13,0,3,No,0,3,No,No,7:40,AM,2:55,PM,A dream of love developing in holistic approach of multi-skills with self-initiative to learn for life
Central & Western,Kau Yan School,/,http://www.kauyan.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,5000,Chinese(incl.: Putonghua),-,-,About 30 places are reserved for our graduates from our affiliated Secondary School -United Christian College (KLN) yearly ,Yes,-,20,1,1,1,"Special Rooms, Roof Garden, Cookery Room, Steam Maker Room, 4,000 sq. ft. Integrated Arts Center, 6,000 sq. ft. Learning Centre (including Visual Arts facilities, 30,000 books & IT facilities).","Accessible lift and multiple sizes small group learning spaces, Student Counselling Room.",-,43,95,100,35,7,41,26,33,3,4,4,3,2,2,18,3,3,4,4,3,2,19,0,0,Yes,0,2,No,No,7:55,AM,3:00,PM,"We instill the beliefs in Learn to Love and Love to Learn to our students while disciplining them to be respectful and responsible by implementing Christian Education, Positive Education, STEAM education and Differentiated school-based curriculum and instructions. While emphasizing a happy learning process, we also pay attention to the quality of learning and performance."
Central & Western,St. Anthony's School,11,http://www.stanthonys.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,18,1,2,1,"8 rooms (2 staff rooms, INNOSPACE, music room, counselling room, speech therapy room, MAKER SPACE, meeting room)",-,38,42,100,100,47,65,22,24,54,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,3,Yes,0,3,Yes,Yes,7:45,AM,3:00,PM,"1. Enrich students' diverse learning experiences and broaden their horizons.<br>2. Practice the 'Life' core value in Catholic Education, and live a healthy and positive life in terms of physical, mental, and spiritual health."
Central & Western,Bonham Road Government Primary School,11,http://www.brgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,3765,Chinese,-,-,"King's College, Belilios College, Clementi College, <br>Tang Shiu Kin Victoria Government Secondary School",-,-,12,1,2,1,"Music, Visual Art, Computer, English, Counselling, Conference, Multi-purpose & PTA rooms.",,25,27,100,100,52,67,11,19,70,2,2,2,2,2,2,12,2,2,2,2,2,2,12,1,1,Yes,2,2,No,No,8:00,AM,3:00,PM,To encourage students to sustain the development of desirable self-regulated learning habits & strategies in order to enhance learning & teaching effectiveness.<br>To nurture students' accurate values and patriotism through the cultivation of positive thinking in school.
Central & Western,St. Clare's Primary School,/,http://scps.edu.hk,Private,Whole Day,Girls,Catholicism,2509,Chinese & English,-,St. Clare's Girls' School,-,Yes,-,18,1,1,1,"Music room, Religious room, Counselling room, Conference room and Medical room.",Accessible lift.,-,31,90,100,25,0,45,25,30,3,3,3,3,3,3,18,3,3,3,3,3,3,18,2,2,No,2,2,No,No,7:50,AM,3:10,PM,1. To nurture students to be proud to be positive;<br>2. To develop students to be reflective learners.
Eastern,Salesian School,16,http://salesian.edu.hk,Aided,Whole Day,Co-ed,Catholicism,5800,Chinese(incl.: Putonghua) and English,-,Salesian English School,-,Yes,-,18,1,4,1,"Multi-purpose Zone, Computer Room, STEM Room, Library, Music Room, Art Room, English Room, PE Room, Sensory Integration Room, Religious Room and Counselling Room.",Accessible lift and Accessible toilet.,22,30,93,100,43,76,21,21,58,1,1,1,2,2,2,9,2,1,1,1,2,2,9,0,0,Yes,0,2,Yes,Yes,7:50,AM,3:00,PM,1. Students can understand that they are God 's creation and learn to discover their own uniqueness.<br>2. Students can become friendly children who live out Catholic values. <br>3. Students can be optimistic and wise through their learning in core curriculum.<br>4. To develop the Catholic atmosphere among stakeholders.
Eastern,C.C.C. Kei Wan Primary School (Aldrich Bay),16,http://www.ccckeiwan.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5100,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,2,3,1,"25 special rooms (AI Lab,  campus TV room, Immersive VR room, music rooms, music practice rooms, visual arts room, science room, ballet room, speech therapy room, game therapy room)and 6 Self learning zone","Ramp, Accessible lift, Accessible toilet, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",47,50,100,100,54,20,10,18,72,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,7:40,AM,2:35,PM,"The school guides students to establish meaningful life goals with love and patience, and helps them develop simple characters, good musical sentiments, learn a wealth of knowledge, and exercise independent thinking and analytical skills, so as to develop their potential to the fullest in the future. The school also cultivate students to become good citizens with a sense of purpose who are willing to serve the public and give back to the society."
Eastern,S.K.H. St. Michael's Primary School,14,http://www.skhsms.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,4500,Chinese,-,-,-,Yes,-,24,1,1,1,"Multi-purpose Area, Visual-art Room, 2 Music Rooms, 2 Computer Rooms, 2 Small-group Teaching Rooms, English Room, Conference Room, Eco Lab.",Accessible lift and Accessible toilet.,49,51,96,98,39,73,18,8,74,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,3,No,0,3,Yes,Yes,8:00,AM,3:00,PM,1. To cultivate student's positive values and attitudes and create a harmonious school.<br>2. To provide diverse learning experiences and improve students' learning effectiveness.
Eastern,North Point Methodist Primary School,14,http://www.npmps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4000,Chinese,-,-,-,Yes,Yes,24,1,2,1,"Music room, Art room, IT room, CAL room, STEM room, small group classrooms, Medical room, English Kingdom, General Studies Room, Campus TV, Chapel, Counselling Room.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",48,48,100,98,49,58,26,17,57,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,7:50,AM,2:55,PM,"1. To establish a learning community among teachers for enhancing learning-and-teaching effectiveness<br>2. To help students better themselves, better their peer and let their talents shine"
Eastern,Chinese Methodist School (North Point),14,http://www.cmsnp.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3200,Chinese,-,-,-,Yes,-,24,1,2,1,"English Room, Visual Arts Room, STREAM Lab, Campus TV Room, Creative Music Studio, Multi-purpose Room, IT Room, Language Activity Room and Life Education Centre.",,47,50,100,98,48,89,12,40,48,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,"1.Establish learning circles (we) that loves learning and sharing.<br>- Incorporate AI in the school-based curriculum to increase the enjoyment of learning.<br>- Promote collaborative learning at the school-wide level through group work to enhance interaction between teachers and students, as well as among students.<br>2. Nurture the attributes of ""CMSNP People"", cultivate a united community (we) filled with happiness and create our DREAMS.<br>- Provide diverse platforms, such as ""CMSNP Dream Square"", to showcase students' talents and to unleash their limitless potential."
Eastern,Buddhist Chung Wah Kornhill Primary School,14,http://www.bcwkps.edu.hk,Aided,Whole Day,Co-ed,Buddhism,4500,Chinese,-,-,-,Yes,Yes,26,1,3,1,"English Room, Library, Multi-intelligent Activity Centre (Bus), Kornhill Broadcasting Room, Kornhill TV Campus, Visual Arts Room, Musical Instrument Training Centre, Numeracy Lab, Meditation Room, Chinese Culture Room, IT LAB, Humanities Study Room.",-,40,49,100,100,46,82,5,21,74,2,4,2,4,4,4,20,3,2,4,2,4,4,19,0,0,Yes,1,2,Yes,Yes,8:15,AM,3:00,PM,1. Enrich students' learning experience and unleash their potential.<br>2. Deepen value education and live a healthy life.
Eastern,The Endeavourers Leung Lee Sau Yu Memorial Primary School,16,http://www.llsy.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,9000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,1,3,1,"IT Room, STEAM LAB, LLSY Campus TV, InnovArts Room, Chinese Heritage Discovery Room, Music Room, General Studies Laboratory, Dance Room, Student Activity Room, English Room, Student Support Function Room",Accessible lift and Accessible toilet.,48,53,100,96,51,72,22,9,69,3,4,3,4,5,5,24,3,3,4,3,4,5,22,0,0,Yes,0,3,Yes,Yes,8:05,AM,3:20,PM,"1. To optimize ways of learning and enhance learning effectiveness<br>2. To improve students' physical and mental well-being, and develop positive peer relationships in learning "
Eastern,Canossa School (Hong Kong),14,http://www.canossahk.edu.hk,Aided,Whole Day,Co-ed,Catholicism,7000,Chinese(incl.: Putonghua) and English,-,-,Canossa College,Yes,-,36,1,3,1,"TV studio, 3 Computer Rooms, Visual Arts Room, 2 Music Rooms, English Room,  General Studies Room, Prayer Room, Stem Lab, Conference Room, Dancing Room.","Ramp, Accessible lift and Accessible toilet.",68,69,100,100,57,42,38,13,49,6,6,6,6,6,6,36,6,6,6,6,6,6,36,0,2,Yes,0,3,No,No,7:45,AM,3:00,PM,"1. Optimize learning and teaching by cultivating students' sense of ownership and empowering them with 21st Century skills to navigate emerging challenges.<br>2. Promote Canossian values education and foster the holistic development of students by nurturing them into active, healthy leaders who recognize their role in the community and contribute to its growth."
Eastern,"Chinese Methodist School, Tanner Hill",14,http://www.cmsth.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3200,Chinese,-,-,-,Yes,Yes,22,1,2,1,"There are special rooms to facilitate learning and teaching. They are a Music Room, an IT room, a Visual Arts Room, a General Studies Room, a Counseling Room, a Student Activity Centre and Life Education Centre.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",40,44,100,100,45,74,16,30,54,3,3,4,4,3,3,20,4,3,3,4,4,3,21,0,2,Yes,0,3,Yes,Yes,8:10,AM,3:10,PM,"2025-2028 Care, Mission & Self-discipline"
Eastern,Chan's Creative School (H.K. Island),14,https://www.ccshki.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1462,Chinese,-,-,-,-,Yes,24,1,1,1,"Creative Technology Room, Art Workshop, Leisure Reading Room, Language Learning Room, English Language Room, Chinese Language Room, Maths & General Studies Room, I.T. Room, AR Immersive Interactive Learning Room, AI All-around Sports Room.",Ramp.,22,29,100,100,30,46,36,32,32,1,1,1,2,2,3,10,1,1,1,1,2,2,8,2,2,Yes,2,2,Yes,Yes,7:55,AM,3:45,PM,"Student-centred, Skill-centred, Whole-person development."
Eastern,North Point Government Primary School,14,http://www.npgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,3013,Chinese,-,-,"Clementi Secondary School, Shau Kei Wan Government Secondary School",Yes,-,30,1,1,1,"Computer Rooms, Music Rooms, Art and Craft Room, English World, Parent Resource Room, Library, Chinese Culture Room, Science Room, STEAM Creative Learning Room.","Ramp, Accessible lift and Accessible toilet.",54,59,100,100,37,59,5,15,80,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:10,PM,1. Establish a high-quality management and organizational system. <br>2. Cultivate future pillars and deepen learning in science and technology. <br>3. Encourage students to embrace a positive attitude to life and take a broad view to the world and establish a foothold on our country.
Wan Chai,North Point Government Primary School (Cloud View Road),/,http://www.npcvr.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,6000,Chinese,-,-,"Shau Kei Wan Government Secondary School, <br>Clementi Secondary School",Yes,-,24,1,2,1,"A school hall, a campus TV station, a library, a STEAM Room, a VR Room, a music room, a visual arts room, an English activity room and multi-purpose rooms.",Visual fire alarm system.,12,12,100,100,50,75,0,8,92,0,0,0,0,2,2,4,0,0,0,0,0,2,2,0,0,No,2,2,Yes,Yes,8:00,AM,3:00,PM,1. Broaden students' exposure and increase their self-confidence through participating in different activities;<br>2. Enhance students' positivity through other learning experiences beyond the classroom.
Eastern,Shanghai Alumni Primary School,14,https://www.sap.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4000,Chinese,-,-,Victoria Shanghai Academy,Yes,-,24,1,2,1,"11 rooms ─ Visual Art Room, English Room, MakerSpace, Inno Lab, MetaSpace, Music Room, Musical Instrument Practising Room and Campus TV.","Ramp, Accessible lift and Accessible toilet.",47,51,100,100,34,67,24,16,60,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,4,Yes,Yes,8:10,AM,3:00,PM,"STEAM Education, Gifted Education, Biliteracy and Trilingualism Policy, IT in Education."
Eastern,Taikoo Primary School,14,http://www.tps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,10870,Chinese,-,-,-,Yes,-,30,1,2,1,"Dancing room, Computer room, Language room, Music room, Multi-purpose room, General Studies room, STEAM room, Visual Art room, English activity room and Small group teaching rooms.","Ramp, Accessible lift and Accessible toilet.",54,61,100,100,44,77,15,31,54,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,1. Develop diversified teaching strategies to improve students' self-learning ability.<br>2. Develop values education to cultivate positive values in students.
Eastern,Aldrich Bay Government Primary School,16,http://www.abgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,6000,Chinese,-,-,"Queen's College, Shau Kei Wan Government Secondary School,<br> Clementi Secondary School",Yes,-,30,1,3,1,"Library, Computer Room, STEAM Room, Maker Room, Visual Art Room, Two Music Rooms, Student Activity Room, English Room and Conference Room.","Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",55,59,100,100,22,54,12,12,76,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,3,Yes,Yes,8:15,AM,3:15,PM,"1. Strengthen civic and moral education to cultivate students' positive values.<br>2. Optimize teaching and learning, enhance self-directed learning and creative thinking. "
Eastern,C.C.C. Kei Wan Primary School,16,http://www.keiwan.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2520,Chinese,-,-,-,Yes,-,24,1,2,1,"Activity Room, Music Room, Computer Room, Campus TV Room, Art & Craft Room, General Studies Room, Student Activity Centre, Language Room, Small Group Learning Room.","Accessible lift, Accessible toilet and Accessible public information / service counter.",48,48,100,100,36,53,2,17,81,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,1,3,Yes,Yes,8:40,AM,3:30,PM,"Study hard, be introspective and strive for excellence.Be caring and considerate to become a good citizen."
Eastern,The ELCHK Faith Love Lutheran School,16,http://www.cwflls.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,900,Chinese,-,-,-,Yes,-,24,1,2,1,"Computer Room, Music Room, Visual Arts Room, English Room, Campus TV Studio, Chinese Culture Room, Health Care & Environmental Resource Room, Discovery Centre, Multi-media Activity Room, Interactive Learning Room, 360° VR Teaching Classroom, Library","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",20,25,88,100,36,54,64,12,24,1,1,1,1,2,2,8,1,1,1,1,1,2,7,0,2,Yes,0,3,Yes,Yes,7:50,AM,3:30,PM,"Concern 1: To strengthen multiple learning strategies; To cater for various learning diversity; To promote learning and teaching effectiveness<br>Concern 2: To uphold positive values and attitudes; To be a courage, faith and love student."
